pais,año,valor,indicador,codigo,url_origen,fecha_descarga
Peru,2021,71.10782643,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2020,65.25179796,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2019,59.9505036049006,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2018,55.0543342443197,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2017,50.4504121848143,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Peru,2016,45.4617406869459,Personas que usan internet (% de la población),IT.NET.USER.ZS,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.NET.USER.ZS?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2024,101.926846460424,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2023,101.020256020808,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2022,101.245468903076,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2021,104.824727184587,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2020,98.6456198619193,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2019,97.3747376780285,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2018,101.602460284017,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2017,108.092570205646,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Brazil,2016,120.101181531485,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2024,132.660408764665,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2023,135.871118507277,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2022,135.114280974065,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2021,136.571581265001,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2020,129.413740104604,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2019,130.492770400522,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2018,133.270134198082,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2017,124.000811902967,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
Chile,2016,127.565123343064,Suscripciones a telefonía móvil (por cada 100 personas),IT.CEL.SETS.P2,https://api.worldbank.org/v2/country/PER;CHL;COL;MEX;BRA/indicator/IT.CEL.SETS.P2?format=json&date=2016:2026&per_page=500,2026-08-27
