periodo,valor,codigo,url_origen,fecha_descarga,hash_respuesta,indicador
Jul.2026,3.40022631578947,PN01207PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01207PM/json/2020-1/2026-8/esp,2026-08-27,8b10c4e349ddb12e,Tipo de cambio interbancario (S/ por US$) — promedio del periodo
Ene.2020,1.88835605229068,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Feb.2020,1.90403776113918,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Mar.2020,1.82153296943842,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Abr.2020,1.72448975655499,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
May.2020,1.7819197522911,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Jun.2020,1.59873239164688,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Jul.2020,1.8616957242678,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Ago.2020,1.68739824186658,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
Sep.2020,1.81955390705632,PN01273PM,https://estadisticas.bcrp.gob.pe/estadisticas/series/api/PN01273PM/json/2020-1/2026-8/esp,2026-08-27,39de7831315b406c,IPC de Lima Metropolitana — variación % de los últimos 12 meses
